"start_time","end_time","発電計画kW","需要計画kW"
2025-10-09 10:30:00.000 +0900,2025-10-09 11:00:00.000 +0900,0,0
2025-08-01 20:00:00.000 +0900,2025-08-01 20:30:00.000 +0900,,1900
2025-08-01 20:30:00.000 +0900,2025-08-01 21:00:00.000 +0900,,1900
2025-08-02 06:00:00.000 +0900,2025-08-02 06:30:00.000 +0900,,0
2025-08-02 06:30:00.000 +0900,2025-08-02 07:00:00.000 +0900,,0
2025-08-02 07:00:00.000 +0900,2025-08-02 07:30:00.000 +0900,,0
2025-08-02 08:00:00.000 +0900,2025-08-02 08:30:00.000 +0900,,0
2025-08-02 07:30:00.000 +0900,2025-08-02 08:00:00.000 +0900,,0
2025-08-02 08:30:00.000 +0900,2025-08-02 09:00:00.000 +0900,,0
2025-08-02 09:00:00.000 +0900,2025-08-02 09:30:00.000 +0900,,0
2025-08-02 09:30:00.000 +0900,2025-08-02 10:00:00.000 +0900,,0
2025-08-02 10:00:00.000 +0900,2025-08-02 10:30:00.000 +0900,,0
2025-08-02 10:30:00.000 +0900,2025-08-02 11:00:00.000 +0900,,0
2025-08-02 11:30:00.000 +0900,2025-08-02 12:00:00.000 +0900,,0
2025-08-02 11:00:00.000 +0900,2025-08-02 11:30:00.000 +0900,,0
2025-08-02 12:00:00.000 +0900,2025-08-02 12:30:00.000 +0900,,0
2025-08-02 12:30:00.000 +0900,2025-08-02 13:00:00.000 +0900,,0
2025-08-02 13:00:00.000 +0900,2025-08-02 13:30:00.000 +0900,,0
2025-08-02 13:30:00.000 +0900,2025-08-02 14:00:00.000 +0900,,0
2025-08-02 14:00:00.000 +0900,2025-08-02 14:30:00.000 +0900,,0
2025-08-02 14:30:00.000 +0900,2025-08-02 15:00:00.000 +0900,,0
2025-08-02 15:00:00.000 +0900,2025-08-02 15:30:00.000 +0900,,0
2025-08-02 15:30:00.000 +0900,2025-08-02 16:00:00.000 +0900,,0
2025-08-02 16:00:00.000 +0900,2025-08-02 16:30:00.000 +0900,,0
2025-08-02 16:30:00.000 +0900,2025-08-02 17:00:00.000 +0900,,0
2025-08-02 17:00:00.000 +0900,2025-08-02 17:30:00.000 +0900,,0
2025-08-02 17:30:00.000 +0900,2025-08-02 18:00:00.000 +0900,,0
2025-08-03 06:00:00.000 +0900,2025-08-03 06:30:00.000 +0900,,0
2025-08-03 06:30:00.000 +0900,2025-08-03 07:00:00.000 +0900,,0
2025-08-03 07:00:00.000 +0900,2025-08-03 07:30:00.000 +0900,,0
2025-08-03 07:30:00.000 +0900,2025-08-03 08:00:00.000 +0900,,0
2025-08-03 08:00:00.000 +0900,2025-08-03 08:30:00.000 +0900,,0
2025-08-03 08:30:00.000 +0900,2025-08-03 09:00:00.000 +0900,,0
2025-08-03 09:00:00.000 +0900,2025-08-03 09:30:00.000 +0900,,0
2025-08-03 09:30:00.000 +0900,2025-08-03 10:00:00.000 +0900,,0
2025-08-03 10:00:00.000 +0900,2025-08-03 10:30:00.000 +0900,,0
2025-08-03 10:30:00.000 +0900,2025-08-03 11:00:00.000 +0900,,0
2025-08-03 11:00:00.000 +0900,2025-08-03 11:30:00.000 +0900,,0
2025-08-03 11:30:00.000 +0900,2025-08-03 12:00:00.000 +0900,,0
2025-08-03 12:00:00.000 +0900,2025-08-03 12:30:00.000 +0900,,0
2025-08-03 12:30:00.000 +0900,2025-08-03 13:00:00.000 +0900,,0
2025-08-03 13:00:00.000 +0900,2025-08-03 13:30:00.000 +0900,,0
2025-08-03 13:30:00.000 +0900,2025-08-03 14:00:00.000 +0900,,0
2025-08-03 14:00:00.000 +0900,2025-08-03 14:30:00.000 +0900,,0
2025-08-03 15:00:00.000 +0900,2025-08-03 15:30:00.000 +0900,,0
2025-08-03 14:30:00.000 +0900,2025-08-03 15:00:00.000 +0900,,0
2025-08-03 15:30:00.000 +0900,2025-08-03 16:00:00.000 +0900,,0
2025-08-03 16:00:00.000 +0900,2025-08-03 16:30:00.000 +0900,,0
2025-08-03 16:30:00.000 +0900,2025-08-03 17:00:00.000 +0900,,0
2025-08-03 17:00:00.000 +0900,2025-08-03 17:30:00.000 +0900,,0
2025-08-03 17:30:00.000 +0900,2025-08-03 18:00:00.000 +0900,,0
2025-08-08 06:00:00.000 +0900,2025-08-08 06:30:00.000 +0900,,0
2025-08-08 06:30:00.000 +0900,2025-08-08 07:00:00.000 +0900,,0
2025-08-08 07:00:00.000 +0900,2025-08-08 07:30:00.000 +0900,,0
2025-08-08 07:30:00.000 +0900,2025-08-08 08:00:00.000 +0900,,0
2025-08-08 08:00:00.000 +0900,2025-08-08 08:30:00.000 +0900,,0
2025-08-08 08:30:00.000 +0900,2025-08-08 09:00:00.000 +0900,,0
2025-08-08 09:00:00.000 +0900,2025-08-08 09:30:00.000 +0900,,0
2025-08-08 10:00:00.000 +0900,2025-08-08 10:30:00.000 +0900,,0
2025-08-08 09:30:00.000 +0900,2025-08-08 10:00:00.000 +0900,,0
2025-08-08 10:30:00.000 +0900,2025-08-08 11:00:00.000 +0900,,0
2025-08-08 11:00:00.000 +0900,2025-08-08 11:30:00.000 +0900,,0
2025-08-08 11:30:00.000 +0900,2025-08-08 12:00:00.000 +0900,,0
2025-08-08 12:00:00.000 +0900,2025-08-08 12:30:00.000 +0900,,0
2025-08-08 12:30:00.000 +0900,2025-08-08 13:00:00.000 +0900,,0
2025-08-08 13:30:00.000 +0900,2025-08-08 14:00:00.000 +0900,,0
2025-08-08 13:00:00.000 +0900,2025-08-08 13:30:00.000 +0900,,0
2025-08-08 14:30:00.000 +0900,2025-08-08 15:00:00.000 +0900,,0
2025-08-08 14:00:00.000 +0900,2025-08-08 14:30:00.000 +0900,,0
2025-08-08 15:00:00.000 +0900,2025-08-08 15:30:00.000 +0900,,0
2025-10-09 11:00:00.000 +0900,2025-10-09 11:30:00.000 +0900,0,0
2025-10-09 11:30:00.000 +0900,2025-10-09 12:00:00.000 +0900,0,0
2025-08-08 15:30:00.000 +0900,2025-08-08 16:00:00.000 +0900,,0
2025-08-08 16:00:00.000 +0900,2025-08-08 16:30:00.000 +0900,,0
2025-08-08 16:30:00.000 +0900,2025-08-08 17:00:00.000 +0900,,0
2025-08-08 17:00:00.000 +0900,2025-08-08 17:30:00.000 +0900,,0
2025-08-08 17:30:00.000 +0900,2025-08-08 18:00:00.000 +0900,,0
2025-08-04 15:00:00.000 +0900,2025-08-04 15:30:00.000 +0900,0,1998
2025-08-04 15:30:00.000 +0900,2025-08-04 16:00:00.000 +0900,0,1998
2025-08-04 16:00:00.000 +0900,2025-08-04 16:30:00.000 +0900,0,1998
2025-08-04 16:30:00.000 +0900,2025-08-04 17:00:00.000 +0900,0,1998
2025-08-04 17:00:00.000 +0900,2025-08-04 17:30:00.000 +0900,0,1998
2025-08-04 17:30:00.000 +0900,2025-08-04 18:00:00.000 +0900,0,1998
2025-08-05 15:00:00.000 +0900,2025-08-05 15:30:00.000 +0900,0,1998
2025-08-05 15:30:00.000 +0900,2025-08-05 16:00:00.000 +0900,0,1998
2025-08-05 16:00:00.000 +0900,2025-08-05 16:30:00.000 +0900,0,1998
2025-08-05 16:30:00.000 +0900,2025-08-05 17:00:00.000 +0900,0,1998
2025-08-05 17:00:00.000 +0900,2025-08-05 17:30:00.000 +0900,0,1998
2025-08-05 17:30:00.000 +0900,2025-08-05 18:00:00.000 +0900,0,1998
2025-08-06 15:00:00.000 +0900,2025-08-06 15:30:00.000 +0900,0,1998
2025-08-06 15:30:00.000 +0900,2025-08-06 16:00:00.000 +0900,0,1998
2025-08-06 16:00:00.000 +0900,2025-08-06 16:30:00.000 +0900,0,1998
2025-08-06 16:30:00.000 +0900,2025-08-06 17:00:00.000 +0900,0,1998
2025-08-06 17:00:00.000 +0900,2025-08-06 17:30:00.000 +0900,0,1998
2025-08-06 17:30:00.000 +0900,2025-08-06 18:00:00.000 +0900,0,1998
2025-08-04 11:00:00.000 +0900,2025-08-04 11:30:00.000 +0900,,1900
2025-08-07 15:00:00.000 +0900,2025-08-07 15:30:00.000 +0900,0,0
2025-08-07 15:30:00.000 +0900,2025-08-07 16:00:00.000 +0900,0,0
2025-08-07 17:30:00.000 +0900,2025-08-07 18:00:00.000 +0900,0,0
2025-08-07 16:30:00.000 +0900,2025-08-07 17:00:00.000 +0900,0,0
2025-08-07 17:00:00.000 +0900,2025-08-07 17:30:00.000 +0900,0,0
2025-08-07 16:00:00.000 +0900,2025-08-07 16:30:00.000 +0900,0,0
2025-08-12 13:00:00.000 +0900,2025-08-12 13:30:00.000 +0900,0,1998
2025-08-12 14:00:00.000 +0900,2025-08-12 14:30:00.000 +0900,0,1998
2025-08-12 14:30:00.000 +0900,2025-08-12 15:00:00.000 +0900,0,1998
2025-08-12 15:00:00.000 +0900,2025-08-12 15:30:00.000 +0900,0,1998
2025-08-12 15:30:00.000 +0900,2025-08-12 16:00:00.000 +0900,0,1998
2025-08-12 17:30:00.000 +0900,2025-08-12 18:00:00.000 +0900,0,1998
2025-08-12 17:00:00.000 +0900,2025-08-12 17:30:00.000 +0900,0,1998
2025-08-12 18:00:00.000 +0900,2025-08-12 18:30:00.000 +0900,0,1998
2025-08-19 15:00:00.000 +0900,2025-08-19 15:30:00.000 +0900,,1998
2025-08-19 15:30:00.000 +0900,2025-08-19 16:00:00.000 +0900,,1998
2025-08-19 16:00:00.000 +0900,2025-08-19 16:30:00.000 +0900,,1998
2025-08-19 16:30:00.000 +0900,2025-08-19 17:00:00.000 +0900,,1998
2025-08-19 17:00:00.000 +0900,2025-08-19 17:30:00.000 +0900,,1998
2025-08-19 17:30:00.000 +0900,2025-08-19 18:00:00.000 +0900,,1998
2025-08-25 15:00:00.000 +0900,2025-08-25 15:30:00.000 +0900,,
2025-08-25 15:30:00.000 +0900,2025-08-25 16:00:00.000 +0900,,
2025-08-25 16:00:00.000 +0900,2025-08-25 16:30:00.000 +0900,,
2025-08-25 16:30:00.000 +0900,2025-08-25 17:00:00.000 +0900,,
2025-08-25 17:30:00.000 +0900,2025-08-25 18:00:00.000 +0900,,
2025-08-25 17:00:00.000 +0900,2025-08-25 17:30:00.000 +0900,,
2025-09-24 15:00:00.000 +0900,2025-09-24 15:30:00.000 +0900,0,0
2025-09-24 15:30:00.000 +0900,2025-09-24 16:00:00.000 +0900,0,0
2025-09-24 16:00:00.000 +0900,2025-09-24 16:30:00.000 +0900,0,0
2025-09-24 16:30:00.000 +0900,2025-09-24 17:00:00.000 +0900,0,0
2025-09-24 17:00:00.000 +0900,2025-09-24 17:30:00.000 +0900,0,0
2025-09-24 17:30:00.000 +0900,2025-09-24 18:00:00.000 +0900,0,0
2025-10-09 12:00:00.000 +0900,2025-10-09 12:30:00.000 +0900,0,0
2025-10-09 12:30:00.000 +0900,2025-10-09 13:00:00.000 +0900,0,0
2025-10-09 13:00:00.000 +0900,2025-10-09 13:30:00.000 +0900,0,0
2025-10-09 13:30:00.000 +0900,2025-10-09 14:00:00.000 +0900,0,0
2025-10-09 14:00:00.000 +0900,2025-10-09 14:30:00.000 +0900,0,0
2025-10-09 14:30:00.000 +0900,2025-10-09 15:00:00.000 +0900,0,0
2025-10-09 15:00:00.000 +0900,2025-10-09 15:30:00.000 +0900,0,0
2025-10-09 15:30:00.000 +0900,2025-10-09 16:00:00.000 +0900,0,0
2025-10-09 16:00:00.000 +0900,2025-10-09 16:30:00.000 +0900,0,0
2025-10-09 16:30:00.000 +0900,2025-10-09 17:00:00.000 +0900,0,0
2025-10-09 17:00:00.000 +0900,2025-10-09 17:30:00.000 +0900,0,0
2025-10-09 17:30:00.000 +0900,2025-10-09 18:00:00.000 +0900,0,0
2025-10-12 06:00:00.000 +0900,2025-10-12 06:30:00.000 +0900,0,0
2025-10-12 06:30:00.000 +0900,2025-10-12 07:00:00.000 +0900,0,0
2025-10-12 07:00:00.000 +0900,2025-10-12 07:30:00.000 +0900,0,0
2025-10-12 07:30:00.000 +0900,2025-10-12 08:00:00.000 +0900,0,0
2025-10-12 08:00:00.000 +0900,2025-10-12 08:30:00.000 +0900,0,0
2025-10-12 08:30:00.000 +0900,2025-10-12 09:00:00.000 +0900,0,0
2025-10-12 09:00:00.000 +0900,2025-10-12 09:30:00.000 +0900,0,0
2025-10-12 09:30:00.000 +0900,2025-10-12 10:00:00.000 +0900,0,0
2025-10-12 10:00:00.000 +0900,2025-10-12 10:30:00.000 +0900,0,0
2025-10-12 10:30:00.000 +0900,2025-10-12 11:00:00.000 +0900,0,0
2025-10-12 11:00:00.000 +0900,2025-10-12 11:30:00.000 +0900,0,0
2025-10-12 11:30:00.000 +0900,2025-10-12 12:00:00.000 +0900,0,0
2025-10-12 12:00:00.000 +0900,2025-10-12 12:30:00.000 +0900,0,0
2025-10-12 12:30:00.000 +0900,2025-10-12 13:00:00.000 +0900,0,0
2025-10-12 13:00:00.000 +0900,2025-10-12 13:30:00.000 +0900,0,0
2025-10-12 13:30:00.000 +0900,2025-10-12 14:00:00.000 +0900,0,0
2025-10-12 14:00:00.000 +0900,2025-10-12 14:30:00.000 +0900,0,0
2025-10-12 14:30:00.000 +0900,2025-10-12 15:00:00.000 +0900,0,0
2025-10-12 15:00:00.000 +0900,2025-10-12 15:30:00.000 +0900,0,0
2025-10-12 15:30:00.000 +0900,2025-10-12 16:00:00.000 +0900,0,0
2025-10-12 16:00:00.000 +0900,2025-10-12 16:30:00.000 +0900,0,0
2025-10-12 16:30:00.000 +0900,2025-10-12 17:00:00.000 +0900,0,0
2025-10-12 17:00:00.000 +0900,2025-10-12 17:30:00.000 +0900,0,0
2025-10-12 17:30:00.000 +0900,2025-10-12 18:00:00.000 +0900,0,0
2025-10-14 06:00:00.000 +0900,2025-10-14 06:30:00.000 +0900,0,0
2025-10-14 06:30:00.000 +0900,2025-10-14 07:00:00.000 +0900,0,0
2025-10-14 07:00:00.000 +0900,2025-10-14 07:30:00.000 +0900,0,0
2025-10-14 07:30:00.000 +0900,2025-10-14 08:00:00.000 +0900,0,0
2025-10-14 08:00:00.000 +0900,2025-10-14 08:30:00.000 +0900,0,0
2025-10-14 08:30:00.000 +0900,2025-10-14 09:00:00.000 +0900,0,0
2025-10-14 09:00:00.000 +0900,2025-10-14 09:30:00.000 +0900,0,0
2025-10-14 09:30:00.000 +0900,2025-10-14 10:00:00.000 +0900,0,0
2025-10-14 10:00:00.000 +0900,2025-10-14 10:30:00.000 +0900,0,0
2025-10-14 10:30:00.000 +0900,2025-10-14 11:00:00.000 +0900,0,0
2025-10-14 11:00:00.000 +0900,2025-10-14 11:30:00.000 +0900,0,0
2025-10-14 11:30:00.000 +0900,2025-10-14 12:00:00.000 +0900,0,0
2025-10-14 12:00:00.000 +0900,2025-10-14 12:30:00.000 +0900,0,0
2025-10-14 12:30:00.000 +0900,2025-10-14 13:00:00.000 +0900,0,0
2025-10-14 13:00:00.000 +0900,2025-10-14 13:30:00.000 +0900,0,0
2025-10-14 13:30:00.000 +0900,2025-10-14 14:00:00.000 +0900,0,0
2025-10-14 14:00:00.000 +0900,2025-10-14 14:30:00.000 +0900,0,0
2025-10-14 14:30:00.000 +0900,2025-10-14 15:00:00.000 +0900,0,0
2025-10-14 15:00:00.000 +0900,2025-10-14 15:30:00.000 +0900,0,0
2025-10-14 15:30:00.000 +0900,2025-10-14 16:00:00.000 +0900,0,0
2025-10-14 16:00:00.000 +0900,2025-10-14 16:30:00.000 +0900,0,0
2025-10-14 16:30:00.000 +0900,2025-10-14 17:00:00.000 +0900,0,0
2025-10-14 17:00:00.000 +0900,2025-10-14 17:30:00.000 +0900,0,0
2025-10-14 17:30:00.000 +0900,2025-10-14 18:00:00.000 +0900,0,0
2025-10-15 16:30:00.000 +0900,2025-10-15 17:00:00.000 +0900,0,0
2025-10-15 17:00:00.000 +0900,2025-10-15 17:30:00.000 +0900,0,0
2025-10-15 17:30:00.000 +0900,2025-10-15 18:00:00.000 +0900,0,0
2025-10-10 06:00:00.000 +0900,2025-10-10 06:30:00.000 +0900,0,0
2025-10-10 06:30:00.000 +0900,2025-10-10 07:00:00.000 +0900,0,0
2025-10-10 07:00:00.000 +0900,2025-10-10 07:30:00.000 +0900,0,0
2025-10-10 07:30:00.000 +0900,2025-10-10 08:00:00.000 +0900,0,0
2025-10-10 08:00:00.000 +0900,2025-10-10 08:30:00.000 +0900,0,0
2025-10-10 08:30:00.000 +0900,2025-10-10 09:00:00.000 +0900,0,0
2025-10-10 09:00:00.000 +0900,2025-10-10 09:30:00.000 +0900,0,0
2025-10-10 09:30:00.000 +0900,2025-10-10 10:00:00.000 +0900,0,0
2025-10-10 10:00:00.000 +0900,2025-10-10 10:30:00.000 +0900,0,0
2025-10-10 10:30:00.000 +0900,2025-10-10 11:00:00.000 +0900,0,0
2025-10-10 11:00:00.000 +0900,2025-10-10 11:30:00.000 +0900,0,0
2025-10-10 11:30:00.000 +0900,2025-10-10 12:00:00.000 +0900,0,0
2025-10-10 12:00:00.000 +0900,2025-10-10 12:30:00.000 +0900,0,0
2025-10-10 12:30:00.000 +0900,2025-10-10 13:00:00.000 +0900,0,0
2025-10-10 13:00:00.000 +0900,2025-10-10 13:30:00.000 +0900,0,0
2025-10-10 13:30:00.000 +0900,2025-10-10 14:00:00.000 +0900,0,0
2025-10-10 14:00:00.000 +0900,2025-10-10 14:30:00.000 +0900,0,0
2025-10-10 14:30:00.000 +0900,2025-10-10 15:00:00.000 +0900,0,0
2025-10-10 15:00:00.000 +0900,2025-10-10 15:30:00.000 +0900,0,0
2025-10-10 15:30:00.000 +0900,2025-10-10 16:00:00.000 +0900,0,0
2025-10-10 16:00:00.000 +0900,2025-10-10 16:30:00.000 +0900,0,0
2025-10-10 16:30:00.000 +0900,2025-10-10 17:00:00.000 +0900,0,0
2025-10-10 17:00:00.000 +0900,2025-10-10 17:30:00.000 +0900,0,0
2025-10-10 17:30:00.000 +0900,2025-10-10 18:00:00.000 +0900,0,0
2025-10-13 06:00:00.000 +0900,2025-10-13 06:30:00.000 +0900,0,0
2025-10-13 06:30:00.000 +0900,2025-10-13 07:00:00.000 +0900,0,0
2025-10-13 07:00:00.000 +0900,2025-10-13 07:30:00.000 +0900,0,0
2025-10-13 07:30:00.000 +0900,2025-10-13 08:00:00.000 +0900,0,0
2025-10-13 08:00:00.000 +0900,2025-10-13 08:30:00.000 +0900,0,0
2025-10-13 09:00:00.000 +0900,2025-10-13 09:30:00.000 +0900,0,0
2025-10-13 08:30:00.000 +0900,2025-10-13 09:00:00.000 +0900,0,0
2025-10-13 09:30:00.000 +0900,2025-10-13 10:00:00.000 +0900,0,0
2025-10-13 10:00:00.000 +0900,2025-10-13 10:30:00.000 +0900,0,0
2025-10-13 10:30:00.000 +0900,2025-10-13 11:00:00.000 +0900,0,0
2025-10-13 11:00:00.000 +0900,2025-10-13 11:30:00.000 +0900,0,0
2025-10-13 11:30:00.000 +0900,2025-10-13 12:00:00.000 +0900,0,0
2025-10-13 12:00:00.000 +0900,2025-10-13 12:30:00.000 +0900,0,0
2025-10-13 12:30:00.000 +0900,2025-10-13 13:00:00.000 +0900,0,0
2025-10-13 13:00:00.000 +0900,2025-10-13 13:30:00.000 +0900,0,0
2025-10-13 13:30:00.000 +0900,2025-10-13 14:00:00.000 +0900,0,0
2025-10-13 14:00:00.000 +0900,2025-10-13 14:30:00.000 +0900,0,0
2025-10-13 14:30:00.000 +0900,2025-10-13 15:00:00.000 +0900,0,0
2025-10-13 15:00:00.000 +0900,2025-10-13 15:30:00.000 +0900,0,0
2025-10-13 15:30:00.000 +0900,2025-10-13 16:00:00.000 +0900,0,0
2025-10-13 16:00:00.000 +0900,2025-10-13 16:30:00.000 +0900,0,0
2025-09-20 06:00:00.000 +0900,2025-09-20 06:30:00.000 +0900,0,0
2025-09-20 06:30:00.000 +0900,2025-09-20 07:00:00.000 +0900,0,0
2025-09-20 07:00:00.000 +0900,2025-09-20 07:30:00.000 +0900,0,0
2025-09-20 07:30:00.000 +0900,2025-09-20 08:00:00.000 +0900,0,0
2025-09-20 08:00:00.000 +0900,2025-09-20 08:30:00.000 +0900,0,0
2025-09-20 08:30:00.000 +0900,2025-09-20 09:00:00.000 +0900,0,0
2025-09-20 09:00:00.000 +0900,2025-09-20 09:30:00.000 +0900,0,0
2025-09-20 09:30:00.000 +0900,2025-09-20 10:00:00.000 +0900,0,0
2025-09-20 10:00:00.000 +0900,2025-09-20 10:30:00.000 +0900,0,0
2025-09-20 10:30:00.000 +0900,2025-09-20 11:00:00.000 +0900,0,0
2025-09-20 11:00:00.000 +0900,2025-09-20 11:30:00.000 +0900,0,0
2025-09-20 11:30:00.000 +0900,2025-09-20 12:00:00.000 +0900,0,0
2025-09-20 12:00:00.000 +0900,2025-09-20 12:30:00.000 +0900,0,0
2025-09-20 12:30:00.000 +0900,2025-09-20 13:00:00.000 +0900,0,0
2025-09-20 13:00:00.000 +0900,2025-09-20 13:30:00.000 +0900,0,0
2025-09-20 13:30:00.000 +0900,2025-09-20 14:00:00.000 +0900,0,0
2025-09-20 14:00:00.000 +0900,2025-09-20 14:30:00.000 +0900,0,0
2025-09-20 14:30:00.000 +0900,2025-09-20 15:00:00.000 +0900,0,0
2025-09-20 15:00:00.000 +0900,2025-09-20 15:30:00.000 +0900,0,0
2025-09-20 15:30:00.000 +0900,2025-09-20 16:00:00.000 +0900,0,0
2025-09-20 16:00:00.000 +0900,2025-09-20 16:30:00.000 +0900,0,0
2025-09-20 16:30:00.000 +0900,2025-09-20 17:00:00.000 +0900,0,0
2025-09-20 17:00:00.000 +0900,2025-09-20 17:30:00.000 +0900,0,0
2025-09-20 17:30:00.000 +0900,2025-09-20 18:00:00.000 +0900,0,0
2025-09-21 06:00:00.000 +0900,2025-09-21 06:30:00.000 +0900,0,0
2025-09-21 06:30:00.000 +0900,2025-09-21 07:00:00.000 +0900,0,0
